annee,parametre,entite_geo,indicateur,valeur
1971,Orthophosp,FRF_CHAR,indic_b100,"0,738117722"
1972,Orthophosp,FRF_CHAR,indic_b100,"1,1355643252"
1973,Orthophosp,FRF_CHAR,indic_b100,"0,746451652"
1974,Orthophosp,FRF_CHAR,indic_b100,"0,9280872032"
1975,Orthophosp,FRF_CHAR,indic_b100,1
1976,Orthophosp,FRF_CHAR,indic_b100,"1,2873607114"
1977,Orthophosp,FRF_CHAR,indic_b100,"0,7106074022"
1978,Orthophosp,FRF_CHAR,indic_b100,"0,9012454991"
1979,Orthophosp,FRF_CHAR,indic_b100,"1,1420621658"
1980,Orthophosp,FRF_CHAR,indic_b100,"1,0814584388"
1981,Orthophosp,FRF_CHAR,indic_b100,"1,0237121522"
1982,Orthophosp,FRF_CHAR,indic_b100,"1,2831858407"
1983,Orthophosp,FRF_CHAR,indic_b100,"1,0448304556"
1984,Orthophosp,FRF_CHAR,indic_b100,"1,1831703765"
1985,Orthophosp,FRF_CHAR,indic_b100,"0,8218344156"
1986,Orthophosp,FRF_CHAR,indic_b100,"0,7645100895"
1987,Orthophosp,FRF_CHAR,indic_b100,"1,2328278955"
1988,Orthophosp,FRF_CHAR,indic_b100,"0,740185931"
1989,Orthophosp,FRF_CHAR,indic_b100,"1,5544374636"
1990,Orthophosp,FRF_CHAR,indic_b100,"1,5070750913"
1991,Orthophosp,FRF_CHAR,indic_b100,"1,1589634431"
1992,Orthophosp,FRF_CHAR,indic_b100,"1,2034682605"
1993,Orthophosp,FRF_CHAR,indic_b100,"0,9646981979"
1994,Orthophosp,FRF_CHAR,indic_b100,"0,5026993355"
1995,Orthophosp,FRF_CHAR,indic_b100,"0,658124039"
1996,Orthophosp,FRF_CHAR,indic_b100,"0,7776829528"
1997,Orthophosp,FRF_CHAR,indic_b100,"0,6937887429"
1998,Orthophosp,FRF_CHAR,indic_b100,"0,4309532397"
1999,Orthophosp,FRF_CHAR,indic_b100,"0,4655737705"
2000,Orthophosp,FRF_CHAR,indic_b100,"0,3510379009"
2001,Orthophosp,FRF_CHAR,indic_b100,"0,3873233626"
2002,Orthophosp,FRF_CHAR,indic_b100,"0,384839492"
2003,Orthophosp,FRF_CHAR,indic_b100,"0,3567401333"
2004,Orthophosp,FRF_CHAR,indic_b100,"0,3958264878"
2005,Orthophosp,FRF_CHAR,indic_b100,"0,4111033186"
