"";"annee";"lb_geo";"POSOR_MO";"POSOR_DBO5";"POSOR_NR";"POSOR_PT"
"1970__09";"1970";"09";12,7922;8,52813333333333;0,6973;0,1958
"1970__12";"1970";"12";15,955;10,6366666666667;1,6505;0,4279
"1970__15";"1970";"15";8,6005;5,73366666666667;0,762;0,2896
"1970__16";"1970";"16";13,2738;8,8492;2,2437;0,1728
"1970__17";"1970";"17";4,8527;3,23513333333333;0,4579;0,1567
"1970__19";"1970";"19";14,1548;9,43653333333333;1,0174;0,2234
"1970__24";"1970";"24";31,165;20,7766666666667;1,8148;0,4233
"1970__31";"1970";"31";49,9944;33,3296;8,747;2,1115
"1970__32";"1970";"32";7,423;4,94866666666667;0,7604;0,1513
"1970__33";"1970";"33";34,8996;23,2664;2,967;8,2809
"1970__40";"1970";"40";100,6846;67,1230666666667;9,989;0,4403
"1970__46";"1970";"46";4,4599;2,97326666666667;0,5763;0,2157
"1970__47";"1970";"47";21,7494;14,4996;1,479;0,6397
"1970__48";"1970";"48";2,3687;1,57913333333333;0,2611;0,1128
"1970__63";"1970";"63";0,3783;0,2522;0,0169;0,0104
"1970__64";"1970";"64";22,1601;14,7734;3,0077;0,4012
"1970__65";"1970";"65";3,7955;2,53033333333333;2,1561;0,1888
"1970__79";"1970";"79";0,3212;0,214133333333333;0,3193;0,0161
"1970__81";"1970";"81";51,8078;34,5385333333333;4,8128;0,8387
"1970__82";"1970";"82";4,6255;3,08366666666667;0,5355;0,1957
"1970__86";"1970";"86";0,1274;0,0849333333333333;0,0156;0,013
"1970__87";"1970";"87";0,4034;0,268933333333333;0,135;0,0141
"1970__bag";"1970";"bag";457,2739;304,849266666667;45,289;15,5941
"1970__FRF_ADOU";"1970";"FRF_ADOU";117,8321;78,5547333333333;14,5052;0,8522
"1970__FRF_CHAR";"1970";"FRF_CHAR";17,1157;11,4104666666667;2,9594;0,351
"1970__FRF_DORD";"1970";"FRF_DORD";60,9763;40,6508666666667;4,3144;1,1075
"1970__FRF_GARO";"1970";"FRF_GARO";102,7695;68,513;13,8664;10,9583
"1970__FRF_LITT";"1970";"FRF_LITT";36,1319;24,0879333333333;0,7384;0,257
"1970__FRF_LOT";"1970";"FRF_LOT";22,0614;14,7076;1,5345;0,38
"1970__FRF_TARN";"1970";"FRF_TARN";71,2668;47,5112;6,8153;1,6248
"1971__09";"1971";"09";12,6643500547645;8,44290003650968;0,690973466593647;0,194720591456736
"1971__12";"1971";"12";15,657263143483;10,4381754289887;1,62066634720701;0,419414649507119
"1971__15";"1971";"15";8,41175342278204;5,60783561518803;0,745509036144578;0,283243483023001
"1971__16";"1971";"16";13,1488884446878;8,76592562979189;2,23743343373494;0,171720591456736
"1971__17";"1971";"17";4,76997532858708;3,17998355239138;0,452712842278204;0,15583047645126
"1971__19";"1971";"19";13,9168503833516;9,27790025556773;0,999769660460022;0,221061281489595
"1971__24";"1971";"24";30,720643483023;20,480428988682;1,78283751369113;0,416373795180723
"1971__31";"1971";"31";49,4205744249726;32,9470496166484;8,73170837897043;2,10445386089814
"1971__32";"1971";"32";7,32465388828039;4,88310259218693;0,744268838992333;0,148871330777656
"1971__33";"1971";"33";34,3034666484118;22,8689777656079;2,93941511500548;8,26102089266156
"1971__40";"1971";"40";99,5058858707557;66,3372572471705;9,8651678532311;0,436372152245345
"1971__46";"1971";"46";4,37765506571742;2,91843671047828;0,56487625958379;0,214230805038335
"1971__47";"1971";"47";21,3021050930997;14,2014033953998;1,44781708652793;0,635232447973713
"1971__48";"1971";"48";2,32435429901424;1,54956953267616;0,256692415115005;0,110521248630887
"1971__63";"1971";"63";0,36957478094195;0,246383187294633;0,0165102135815991;0,0101601314348302
"1971__64";"1971";"64";21,8717480010953;14,5811653340635;2,97774641292442;0,394483680175246
"1971__65";"1971";"65";3,76536651150055;2,51024434100037;2,14839422234392;0,188020427163198
"1971__79";"1971";"79";0,317781872946331;0,21185458196422;0,318070673603505;0,0158901150054765
"1971__81";"1971";"81";51,4787003285871;34,3191335523914;4,77454096385542;0,825237376779847
"1971__82";"1971";"82";4,53449986308872;3,02299990872581;0,525755339539978;0,1921319550931
"1971__86";"1971";"86";0,12446161007667;0,0829744067177802;0,0152401971522453;0,0127001642935378
"1971__87";"1971";"87";0,396863581599124;0,264575721066083;0,13230147864184;0,0138901150054765
"1971__bag";"1971";"bag";451,322071276013;300,881380850675;44,8440438116101;15,4991420317634
"1971__FRF_ADOU";"1971";"FRF_ADOU";116,380385460022;77,5869236400146;14,3464669769989;0,841285980284776
"1971__FRF_CHAR";"1971";"FRF_CHAR";16,9244348028478;11,2829565352318;2,94776637458927;0,348601314348302
"1971__FRF_DORD";"1971";"FRF_DORD";59,9802157995619;39,9868105330413;4,23590301204819;1,0920584611172
"1971__FRF_GARO";"1971";"FRF_GARO";101,370616511501;67,580411007667;13,7924005476451;10,9279866100767
"1971__FRF_LITT";"1971";"FRF_LITT";35,7378259309967;23,8252172873311;0,728865224534502;0,255500821467689
"1971__FRF_LOT";"1971";"FRF_LOT";21,6239996714129;14,415999780942;1,50376684008762;0,372803943044907
"1971__FRF_TARN";"1971";"FRF_TARN";70,5605070098576;47,0403380065717;6,7403110898138;1,59823455640745
"1972__09";"1972";"09";12,536500109529;8,35766673968602;0,684646933187295;0,193641182913472
"1972__12";"1972";"12";15,359526286966;10,2396841913107;1,59083269441402;0,410929299014239
