;geo;annee;poll_mil_dbo5;poll_mil_nh4;poll_mil_pt
1;09;1970;10,6;1,4;0,5
2;09;1971;10,5;1,4;0,5
3;09;1972;10,5;1,4;0,5
4;09;1973;10,4;1,4;0,5
5;09;1974;10,4;1,4;0,5
6;09;1975;10,4;1,4;0,5
7;09;1976;10,2;1,3;0,5
8;09;1977;10,2;1,3;0,5
9;09;1978;9,8;1,3;0,5
10;09;1979;9,8;1,3;0,5
11;09;1980;9,6;1,2;0,5
12;09;1981;9,6;1,2;0,5
13;09;1982;9,5;1,2;0,5
14;09;1983;9,5;1,2;0,5
15;09;1984;9,5;1,2;0,5
16;09;1985;9,5;1,2;0,5
17;09;1986;9,5;1,2;0,5
18;09;1987;10,3;1,2;0,5
19;09;1988;10,4;1,2;0,5
20;09;1989;10,5;1,2;0,5
21;09;1990;8,5;1,1;0,4
22;09;1991;9,8;1,1;0,5
23;09;1992;10;1,2;0,5
24;09;1993;8,3;1,1;0,4
25;09;1994;7,9;1,1;0,4
26;09;1995;7,7;1;0,4
27;09;1996;7,9;1;0,4
28;09;1997;8,4;1;0,4
29;09;1998;7;0,7;0,2
30;09;1999;5,8;0,5;0,2
31;09;2000;4,8;0,3;0,2
32;09;2001;6,5;0,5;0,3
33;09;2002;6,8;0,6;0,3
34;09;2003;6,3;0,5;0,2
35;09;2004;4,6;0,2;0,2
36;09;2005;3,9;0,3;0,2
37;09;2006;4,2;0,3;0,2
38;09;2007;3,4;0,2;0,2
39;09;2008;2,9;0,4;0,2
40;09;2009;3,6;0,6;0,2
41;09;2010;3,8;0,6;0,2
42;09;2011;3,4;0,5;0,2
43;09;2012;3;0,5;0,2
44;09;2013;2,7;0,6;0,2
45;09;2014;2,9;0,6;0,2
46;09;2015;3,1;0,6;0,1
47;09;2016;3,5;0,5;0,1
49;11;1970;0,4;0,1;0
50;11;1971;0,4;0,1;0
51;11;1972;0,3;0,1;0
52;11;1973;0,3;0,1;0
53;11;1974;0,3;0,1;0
54;11;1975;0,3;0,1;0
55;11;1976;0,3;0,1;0
56;11;1977;0,3;0,1;0
57;11;1978;0,2;0,1;0
58;11;1979;0,2;0;0
59;11;1980;0,2;0;0
60;11;1981;0,2;0;0
61;11;1982;0,2;0;0
62;11;1983;0,2;0;0
63;11;1984;0,2;0;0
64;11;1985;0,2;0;0
65;11;1986;0,2;0;0
66;11;1987;0,2;0;0
67;11;1988;0,2;0;0
68;11;1989;0,2;0;0
69;11;1990;0,2;0;0
70;11;1991;0,2;0;0
71;11;1992;0,2;0;0
72;11;1993;0,1;0;0
73;11;1994;0,1;0;0
74;11;1995;0,1;0;0
75;11;1996;0,1;0;0
76;11;1997;0,1;0;0
77;11;1998;0,1;0;0
78;11;1999;0,1;0;0
79;11;2000;0,1;0;0
80;11;2001;0,1;0;0
81;11;2002;0,1;0;0
82;11;2003;0,1;0;0
83;11;2004;0,1;0;0
84;11;2005;0,1;0;0
85;11;2006;0,1;0;0
86;11;2007;0,1;0;0
87;11;2008;0,1;0;0
88;11;2009;0,1;0;0
89;11;2010;0,1;0;0
90;11;2011;0,1;0;0
91;11;2012;0;0;0
92;11;2013;0,1;0;0
93;11;2014;0,1;0;0
94;11;2015;0,1;0;0
95;11;2016;0,1;0;0
97;12;1970;15,5;2,4;0,9
98;12;1971;15,6;2,4;0,9
99;12;1972;15,6;2,4;0,9
100;12;1973;15,6;2,4;0,9
101;12;1974;15,6;2,4;0,9
102;12;1975;15,6;2,4;0,9
103;12;1976;12;1,9;0,7
104;12;1977;12;1,9;0,7
105;12;1978;11,9;1,9;0,7
106;12;1979;11,6;1,8;0,7
107;12;1980;11,6;1,8;0,7
108;12;1981;11,6;1,8;0,7
109;12;1982;6,2;0,9;0,4
110;12;1983;6;0,8;0,4
111;12;1984;5,9;0,8;0,4
112;12;1985;5,6;0,8;0,4
113;12;1986;5,6;0,8;0,4
114;12;1987;7,2;0,8;0,3
115;12;1988;5,8;0,7;0,3
116;12;1989;4,7;0,6;0,3
117;12;1990;5;0,6;0,3
118;12;1991;3,7;0,5;0,3
119;12;1992;3,3;0,5;0,3
120;12;1993;2,4;0,4;0,3
121;12;1994;2,8;0,3;0,3
122;12;1995;2,3;0,2;0,3
123;12;1996;2,9;0,2;0,3
124;12;1997;2,4;0,2;0,3
125;12;1998;0,8;-0,1;0,1
126;12;1999;-0,1;-0,2;0,1
127;12;2000;0,2;-0,2;0,1
128;12;2001;-1,7;-0,4;0,1
129;12;2002;-1,3;-0,4;0,1
130;12;2003;0,7;0;0,1
131;12;2004;1;0;0,1
132;12;2005;1,5;0;0,2
133;12;2006;2,2;0,2;0,2
134;12;2007;1,5;0,1;0,2
135;12;2008;5,9;0,2;0,2
136;12;2009;1,5;0,2;0,2
137;12;2010;1,7;0,3;0,2
138;12;2011;1,7;0,3;0,2
139;12;2012;2;0,3;0,2
140;12;2013;2,4;0,3;0,2
141;12;2014;2,2;0,3;0,1
142;12;2015;2,4;0,3;0,2
143;12;2016;3,4;0,4;0,2
145;15;1970;6,8;1,1;0,4
146;15;1971;6,8;1,1;0,4
147;15;1972;6,5;1;0,4
148;15;1973;6,3;1;0,4
149;15;1974;6,2;1;0,4
150;15;1975;5,9;0,9;0,4
151;15;1976;5,7;0,9;0,4
152;15;1977;5,7;0,9;0,4
153;15;1978;5,4;0,9;0,4
154;15;1979;4,4;0,7;0,3
155;15;1980;4,3;0,7;0,3
156;15;1981;4,3;0,7;0,3
157;15;1982;3,9;0,6;0,3
158;15;1983;3,7;0,6;0,3
159;15;1984;3,7;0,6;0,3
160;15;1985;3,7;0,6;0,3
161;15;1986;3,6;0,6;0,3
162;15;1987;3,5;0,6;0,3
163;15;1988;3,4;0,6;0,3
164;15;1989;3,3;0,6;0,3
165;15;1990;3,3;0,6;0,3
166;15;1991;3,2;0,6;0,3
167;15;1992;3,2;0,5;0,3
168;15;1993;3,2;0,5;0,3
169;15;1994;2,1;0,4;0,2
