annee,lb_geo,POSOR_MO,POSOR_DBO5,POSOR_NR,POSOR_PT
1970,09,"12,7922","8,5281333333","0,6973","0,1958"
1970,12,"15,955","10,6366666667","1,6505","0,4279"
1970,15,"8,6005","5,7336666667","0,762","0,2896"
1970,16,"13,2738","8,8492","2,2437","0,1728"
1970,17,"4,8527","3,2351333333","0,4579","0,1567"
1970,19,"14,1548","9,4365333333","1,0174","0,2234"
1970,24,"31,165","20,7766666667","1,8148","0,4233"
1970,31,"49,9944","33,3296","8,747","2,1115"
1970,32,"7,423","4,9486666667","0,7604","0,1513"
1970,33,"34,8996","23,2664","2,967","8,2809"
1970,40,"100,6846","67,1230666667","9,989","0,4403"
1970,46,"4,4599","2,9732666667","0,5763","0,2157"
1970,47,"21,7494","14,4996","1,479","0,6397"
1970,48,"2,3687","1,5791333333","0,2611","0,1128"
1970,63,"0,3783","0,2522","0,0169","0,0104"
1970,64,"22,1601","14,7734","3,0077","0,4012"
1970,65,"3,7955","2,5303333333","2,1561","0,1888"
1970,79,"0,3212","0,2141333333","0,3193","0,0161"
1970,81,"51,8078","34,5385333333","4,8128","0,8387"
1970,82,"4,6255","3,0836666667","0,5355","0,1957"
1970,86,"0,1274","0,0849333333","0,0156","0,013"
1970,87,"0,4034","0,2689333333","0,135","0,0141"
1970,bag,"457,2739","304,8492666667","45,289","15,5941"
1970,FRF_ADOU,"117,8321","78,5547333333","14,5052","0,8522"
1970,FRF_CHAR,"17,1157","11,4104666667","2,9594","0,351"
1970,FRF_DORD,"60,9763","40,6508666667","4,3144","1,1075"
1970,FRF_GARO,"102,7695","68,513","13,8664","10,9583"
1970,FRF_LITT,"36,1319","24,0879333333","0,7384","0,257"
1970,FRF_LOT,"22,0614","14,7076","1,5345","0,38"
1970,FRF_TARN,"71,2668","47,5112","6,8153","1,6248"
1971,09,"12,6643500548","8,4429000365","0,6909734666","0,1947205915"
1971,12,"15,6572631435","10,438175429","1,6206663472","0,4194146495"
1971,15,"8,4117534228","5,6078356152","0,7455090361","0,283243483"
1971,16,"13,1488884447","8,7659256298","2,2374334337","0,1717205915"
1971,17,"4,7699753286","3,1799835524","0,4527128423","0,1558304765"
1971,19,"13,9168503834","9,2779002556","0,9997696605","0,2210612815"
1971,24,"30,720643483","20,4804289887","1,7828375137","0,4163737952"
1971,31,"49,420574425","32,9470496166","8,731708379","2,1044538609"
1971,32,"7,3246538883","4,8831025922","0,744268839","0,1488713308"
1971,33,"34,3034666484","22,8689777656","2,939415115","8,2610208927"
1971,40,"99,5058858708","66,3372572472","9,8651678532","0,4363721522"
1971,46,"4,3776550657","2,9184367105","0,5648762596","0,214230805"
1971,47,"21,3021050931","14,2014033954","1,4478170865","0,635232448"
1971,48,"2,324354299","1,5495695327","0,2566924151","0,1105212486"
1971,63,"0,3695747809","0,2463831873","0,0165102136","0,0101601314"
1971,64,"21,8717480011","14,5811653341","2,9777464129","0,3944836802"
1971,65,"3,7653665115","2,510244341","2,1483942223","0,1880204272"
1971,79,"0,3177818729","0,211854582","0,3180706736","0,015890115"
1971,81,"51,4787003286","34,3191335524","4,7745409639","0,8252373768"
1971,82,"4,5344998631","3,0229999087","0,5257553395","0,1921319551"
1971,86,"0,1244616101","0,0829744067","0,0152401972","0,0127001643"
1971,87,"0,3968635816","0,2645757211","0,1323014786","0,013890115"
1971,bag,"451,322071276","300,8813808507","44,8440438116","15,4991420318"
1971,FRF_ADOU,"116,38038546","77,58692364","14,346466977","0,8412859803"
1971,FRF_CHAR,"16,9244348028","11,2829565352","2,9477663746","0,3486013143"
1971,FRF_DORD,"59,9802157996","39,986810533","4,235903012","1,0920584611"
1971,FRF_GARO,"101,3706165115","67,5804110077","13,7924005476","10,9279866101"
1971,FRF_LITT,"35,737825931","23,8252172873","0,7288652245","0,2555008215"
1971,FRF_LOT,"21,6239996714","14,4159997809","1,5037668401","0,372803943"
1971,FRF_TARN,"70,5605070099","47,0403380066","6,7403110898","1,5982345564"
1972,09,"12,5365001095","8,3576667397","0,6846469332","0,1936411829"
1972,12,"15,359526287","10,2396841913","1,5908326944","0,410929299"
1972,15,"8,2230068456","5,4820045637","0,7290180723","0,276886966"
1972,16,"13,0239768894","8,6826512596","2,2311668675","0,1706411829"
1972,17,"4,6872506572","3,1248337714","0,4475256846","0,1549609529"
1972,19,"13,6789007667","9,1192671778","0,9821393209","0,218722563"
1972,24,"30,276286966","20,1841913107","1,7508750274","0,4094475904"
1972,31,"48,8467488499","32,5644992333","8,7164167579","2,0974077218"
1972,32,"7,2263077766","4,8175385177","0,728137678","0,1464426616"
