id;name;dataviz_type;direction;key_indicator;family;classif;area;level;final_list;note;source;definition;short_def;tag;timeseries;default_cpage;dissem_agency;methodo;methodo_link;datasource;datasource_id
1;Data on access to water;ordinal;1;0;Statistical production processes;Production;Skills & Knowledge;Organization;1;;World Health Organization and United Nations Children's Fund, Joint Measurement Programme (JMP);Existence of data on access to water, according to international standards. Access to an improved water source is currently defined as the percentage of the population that can obtain at least 20 liters per person per day from an improved source that is within one kilometer of the users dwelling. Improved water sources include household connection, public standpipe, borehole, protected well or spring, and rainwater collection, but do not include water provided through vendors, tanker trucks, unprotected wells, unprotected springs, and bottled water. Unsafe water and lack of basic sanitation is the direct cause of many water-related diseases in developing countries. This indicator monitors access to improved water sources based on the assumption that improved sources are likely to provide safer water and relates to the seventh MDG to ensure environmental sustainability.;Access to an improved water source is currently defined as the percentage of the population that can obtain at least 20 liters per person per day from an improved source that is within one kilometer of the users dwelling. Improved water sources include household connection, public standpipe, borehole, protected well or spring, and rainwater collection, but do not include water provided through vendors, tanker trucks, unprotected wells, unprotected springs, and bottled water.;indicator (0 to 1);1;;World Bank Statistical Capacity Indicator;Scores are 1 or 1/2 if primary estimates are observed for at least 2 and 1 out of the 6 latest years, respectively.;http://siteresources.worldbank.org/INTWBDEBTSTA/Resources/Note_on_Statistical_Capacity_Indicator_BBSC_Nov2012.pdf;worldbank;5.51.01.09.water
2;Accessible microdata;bar graph;1;0;Statistical production processes;Dissemination;Skills & Knowledge;Organization;0;;;Accessibility of micro data sets online. ;;quantity;0;;;;;;
3;NSO outreach to users ;binary;1;0;Relationship with users;Dissemination;Politics and Power;System;0;;PARIS21;This indicator measures whether the NSO has an active outreach to users. Active outreach is defined as one of the following strategies: press conferences: workshops for users of statistics publications and booklets tailored for specific groups special web sections for different types of users (e.g. academia, media) seminars  including e-learning, live chat sessions and podcasts.;This indicator measures whether the NSO has an active outreach to users.;indicator (0 or 1);0;;PARIS21;Scores is 1 if the country has an active outreach to users.;;;
4;Advocacy material;binary;1;0;Advocacy strategy;Dissemination;Management;System;0;;;Existence of booklet or material used by  country for advocacy for statistics at national level;;;0;;;;;;
5;Agricultural census;binary;1;0;Statistical production processes;Production;Skills & Knowledge;Organization;1;;Food and Agriculture Organisation (FAO);Existence of an agricultural census, according to international standards. Agricultural censuses collect information on agricultural activities, such as agricultural land use, employment and production, and provide basic structural data and sampling frames for agricultural surveys. It is recommended that agricultural censuses be conducted at least every 10 years.;Agricultural censuses collect information on agricultural activities, such as agricultural land use, employment and production, and provide basic structural data and sampling frames for agricultural surveys.;indicator (0 or 1);1;;World Bank Statistical Capacity Indicator;Score is equal to 1 if the country had a census at least in the last 10 years.;http://siteresources.worldbank.org/INTWBDEBTSTA/Resources/Note_on_Statistical_Capacity_Indicator_BBSC_Nov2012.pdf;worldbank;3.01.04.01.agcen
6;Available microdata ;bar graph;1;0;Existing data;Dissemination;Resources;System;0;;;Availability of microdata datasets.;;quantity;0;;;;;;
7;Balance of payments manual in use;ordinal;1;0;Statistical production processes;Production;Skills & Knowledge;Organization;1;;IMF: Balance of Payment Statistics yearbook (BPS);Adoption of one of the two latest editions (BPM5 or BPM6) of balance of payments manuals, according to international standards. The Balance of Payments Manual serves as an international standard for the compilation of balance of payments statistics. The manual has evolved to meet changing economic and financial environment and analytic requirements. The first edition was published in 1948 and successive editions in 1950, 1961, 1977, 1993, and 2013.;The Balance of Payments Manual serves as an international standard for the compilation of balance of payments statistics.;indicator (0 to 1);1;;World Bank Statistical Capacity Indicator;Score is 1 for countries adopting one of the two latest editions (BPM5 or BPM6).;http://siteresources.worldbank.org/INTWBDEBTSTA/Resources/Note_on_Statistical_Capacity_Indicator_BBSC_Nov2012.pdf;worldbank;2.04.01.01.excncpt
8;Birth data from vital registration ;binary;1;0;Statistical production processes;Production;Skills & Knowledge;Organization;0;redundant with WB SCI variable?;;Whether the country has birth data from vital registration. ;;;0;;;;;;
9;Data on child immunization;binary;1;0;Statistical production processes;Production;Skills & Knowledge;Organization;1;;World Health Organization (WHO) and UNICEF;Existence of data on child immunization, according to international standards. The proportion of one-year-old children immunized against measles is the proportion of children aged one who received one dose of measles vaccine. A child is considered adequately immunized against measles after receiving one dose of vaccine. Immunization is an essential component for reducing under-five mortality, and it serves as a proxy to measure the coverage and the quality of the child health care system. This indicator is also related to the fourth MDG aiming at reducing child mortality.;The proportion of one-year-old children immunized against measles is the proportion of children aged one who received one dose of measles vaccine. A child is considered adequately immunized against measles after receiving one dose of vaccine.;indicator (0 or 1);1;;World Bank Statistical Capacity Indicator;Score is 1 if the periodicity of the indicator is annual within 5 year reference period. For assessment, look at 5 year interval starting 2 years before current year and count number of data points available.;http://siteresources.worldbank.org/INTWBDEBTSTA/Resources/Note_on_Statistical_Capacity_Indicator_BBSC_Nov2012.pdf;worldbank;5.51.01.04.immun
10;Data on child malnutrition;ordinal;1;0;Statistical production processes;Production;Skills & Knowledge;Organization;1;;World Health Organization (WHO) , Global Database on Child Growth and Malnutrition;Existence of data on child malnutrition, according to international standards. Prevalence of underweight children under-five years of age, also known as prevalence of child malnutrition (weight for age), is the percentage of children under-five whose weight for age is less than minus two standard deviations from the median for the international reference population ages 0 to 59 months. The data are based on the World Health Organizations new child growth standards released in 2006. Child malnutrition is linked to poverty, low levels of education, and poor access to health services. Sufficient and good-quality nutrition is therefore critical for development, health, and survival of current and succeeding generations. This indicator monitors nutritional status and health in populations and relates to the first MDG aiming at reducing poverty and hunger.;Prevalence of underweight children under-five years of age, also known as prevalence of child malnutrition (weight for age), is the percentage of children under-five whose weight for age is less than minus two standard deviations from the median for the international reference population ages 0 to 59 months.;indicator (0 to 1);1;;World Bank Statistical Capacity Indicator;Scores are 1, 2/3 and 1/3 if the indicator was observed at least 3 times, 2 times or once within 10 years.;http://siteresources.worldbank.org/INTWBDEBTSTA/Resources/Note_on_Statistical_Capacity_Indicator_BBSC_Nov2012.pdf;worldbank;5.51.01.02.malnut
