geo,parametre,type_indic,seq_annee,lb_annee,i_b100
09,DBO5,indic_b100,1970-1975,1970,100
12,DBO5,indic_b100,1970-1975,1970,100
15,DBO5,indic_b100,1970-1975,1970,100
16,DBO5,indic_b100,1970-1975,1970,100
17,DBO5,indic_b100,1970-1975,1970,100
19,DBO5,indic_b100,1970-1975,1970,100
24,DBO5,indic_b100,1970-1975,1970,100
31,DBO5,indic_b100,1970-1975,1970,100
32,DBO5,indic_b100,1970-1975,1970,100
33,DBO5,indic_b100,1970-1975,1970,100
40,DBO5,indic_b100,1970-1975,1970,100
46,DBO5,indic_b100,1970-1975,1970,100
47,DBO5,indic_b100,1970-1975,1970,100
48,DBO5,indic_b100,1970-1975,1970,100
64,DBO5,indic_b100,1970-1975,1970,100
65,DBO5,indic_b100,1970-1975,1970,100
79,DBO5,indic_b100,1970-1975,1970,100
81,DBO5,indic_b100,1970-1975,1970,100
82,DBO5,indic_b100,1970-1975,1970,100
bag,DBO5,indic_b100,1970-1975,1970,100
FRF_ADOU,DBO5,indic_b100,1970-1975,1970,100
FRF_CHAR,DBO5,indic_b100,1970-1975,1970,100
FRF_DORD,DBO5,indic_b100,1970-1975,1970,100
FRF_GARO,DBO5,indic_b100,1970-1975,1970,100
FRF_LITT,DBO5,indic_b100,1970-1975,1970,100
FRF_LOT,DBO5,indic_b100,1970-1975,1970,100
FRF_TARN,DBO5,indic_b100,1970-1975,1970,100
09,NH4+,indic_b100,1970-1975,1970,100
12,NH4+,indic_b100,1970-1975,1970,100
15,NH4+,indic_b100,1970-1975,1970,100
16,NH4+,indic_b100,1970-1975,1970,100
17,NH4+,indic_b100,1970-1975,1970,100
19,NH4+,indic_b100,1970-1975,1970,100
24,NH4+,indic_b100,1970-1975,1970,100
31,NH4+,indic_b100,1970-1975,1970,100
32,NH4+,indic_b100,1970-1975,1970,100
33,NH4+,indic_b100,1970-1975,1970,100
40,NH4+,indic_b100,1970-1975,1970,100
46,NH4+,indic_b100,1970-1975,1970,100
47,NH4+,indic_b100,1970-1975,1970,100
48,NH4+,indic_b100,1970-1975,1970,100
64,NH4+,indic_b100,1970-1975,1970,100
65,NH4+,indic_b100,1970-1975,1970,100
79,NH4+,indic_b100,1970-1975,1970,100
81,NH4+,indic_b100,1970-1975,1970,100
82,NH4+,indic_b100,1970-1975,1970,100
bag,NH4+,indic_b100,1970-1975,1970,100
FRF_ADOU,NH4+,indic_b100,1970-1975,1970,100
FRF_CHAR,NH4+,indic_b100,1970-1975,1970,100
FRF_DORD,NH4+,indic_b100,1970-1975,1970,100
FRF_GARO,NH4+,indic_b100,1970-1975,1970,100
FRF_LITT,NH4+,indic_b100,1970-1975,1970,100
FRF_LOT,NH4+,indic_b100,1970-1975,1970,100
FRF_TARN,NH4+,indic_b100,1970-1975,1970,100
09,NO3-,indic_b100,1970-1975,1970,100
12,NO3-,indic_b100,1970-1975,1970,100
15,NO3-,indic_b100,1970-1975,1970,100
16,NO3-,indic_b100,1970-1975,1970,100
17,NO3-,indic_b100,1970-1975,1970,100
19,NO3-,indic_b100,1970-1975,1970,100
24,NO3-,indic_b100,1970-1975,1970,100
31,NO3-,indic_b100,1970-1975,1970,100
32,NO3-,indic_b100,1970-1975,1970,100
33,NO3-,indic_b100,1970-1975,1970,100
40,NO3-,indic_b100,1970-1975,1970,100
46,NO3-,indic_b100,1970-1975,1970,100
47,NO3-,indic_b100,1970-1975,1970,100
48,NO3-,indic_b100,1970-1975,1970,100
64,NO3-,indic_b100,1970-1975,1970,100
65,NO3-,indic_b100,1970-1975,1970,100
79,NO3-,indic_b100,1970-1975,1970,100
81,NO3-,indic_b100,1970-1975,1970,100
82,NO3-,indic_b100,1970-1975,1970,100
bag,NO3-,indic_b100,1970-1975,1970,100
FRF_ADOU,NO3-,indic_b100,1970-1975,1970,100
FRF_CHAR,NO3-,indic_b100,1970-1975,1970,100
